municipio;homens;mulheres;branca;preta;amarela;parda;indigena;ignorado;urbana;rural;comorbidades
Aceguá;2303;2091;3533;338;33;489;1;;1059;3335;496
Água Santa;1879;1843;3085;48;6;344;239;;1447;2275;371
Agudo;8349;8373;14593;517;75;1534;3;;6889;9833;1670
Ajuricaba;3585;3670;6229;120;10;868;28;;4108;3147;679
Alecrim;3512;3533;5849;104;20;1071;1;;2165;4880;532
Alegrete;38051;39602;55865;5361;273;15919;234;1;69594;8059;7127
Alegria;2149;2152;3557;65;13;666;;;1585;2716;308
Almirante Tamandaré do Sul;1041;1026;1920;47;2;97;1;;839;1228;186
Alpestre;4129;3898;6872;289;4;861;1;;2211;5816;586
Alto Alegre;944;904;1617;12;8;210;1;;743;1105;155
Alto Feliz;1500;1417;2802;34;4;69;8;;816;2101;324
Alvorada;95080;100593;143812;24982;508;26003;368;;195673;;21465
Amaral Ferrador;3281;3072;5072;857;52;372;;;1866;4487;694
Ametista do Sul;3732;3591;5122;115;13;2064;9;;3811;3512;754
André da Rocha;620;596;987;54;11;154;10;;496;720;127
Anta Gorda;3025;3048;5828;56;3;186;;;2331;3742;574
Antônio Prado;6405;6428;11005;304;20;1504;;;9235;3598;1325
Arambaré;1854;1839;3086;449;2;155;1;;2913;780;340
Araricá;2456;2408;4219;118;10;515;2;;3996;868;609
Aratiba;3340;3225;6032;144;12;375;2;;3316;3249;611
Arroio do Meio;9353;9430;17356;307;23;1092;5;;14663;4120;2189
Arroio do Sal;3833;3907;7016;195;5;519;5;;7509;231;976
Arroio do Padre;1414;1316;2511;115;21;83;;;454;2276;284
Arroio dos Ratos;6635;6971;11598;833;51;1108;16;;12956;650;1406
Arroio do Tigre;6384;6264;10847;448;116;1237;;;5962;6686;1369
Arroio Grande;9174;9296;15805;1197;40;1416;12;;16085;2385;1781
Arvorezinha;5134;5091;8745;283;24;1173;;;6273;3952;1033
Augusto Pestana;3487;3609;6459;210;9;414;4;;3657;3439;624
Áurea;1807;1858;3400;47;12;206;;;1537;2128;345
Bagé;55804;60990;88316;10926;223;17257;72;;97765;19029;12069
Balneário Pinhal;5344;5512;9060;513;48;1218;17;;10743;113;1285
Barão;2912;2829;5391;50;2;284;14;;2970;2771;656
Barão de Cotegipe;3296;3233;5824;96;60;544;5;;3966;2563;669
Barão do Triunfo;3741;3277;6244;224;47;501;2;;697;6321;770
Barracão;2691;2666;4287;219;51;797;3;;3037;2320;523
Barra do Guarita;1550;1539;2602;136;8;342;1;;1371;1718;321
Barra do Quaraí;2128;1884;2613;305;15;1079;;;2840;1172;413
Barra do Ribeiro;6253;6319;10670;812;12;876;202;;9291;3281;1321
Barra do Rio Azul;1049;954;1886;39;3;75;;;403;1600;156
Barra Funda;1177;1190;2050;122;8;187;;;1522;845;259
Barros Cassal;5729;5404;8158;149;38;2784;4;;3531;7602;1082
Benjamin Constant do Sul;1195;1112;1158;43;56;47;1003;;341;1966;196
Bento Gonçalves;52645;54633;93781;2205;234;10962;96;;99069;8209;12846
Boa Vista das Missões;1056;1058;1631;25;8;450;;;886;1228;212
Boa Vista do Buricá;3295;3279;5935;321;;318;;;4366;2208;687
Boa Vista do Cadeado;1257;1184;2223;39;13;166;;;472;1969;246
Boa Vista do Incra;1243;1182;2206;26;;192;1;;724;1701;264
Boa Vista do Sul;1469;1307;2745;6;;25;;;391;2385;273
Bom Jesus;5703;5816;7685;571;154;3108;1;;8593;2926;1073
Bom Princípio;6029;5760;11177;113;19;479;1;;9198;2591;1549
Bom Progresso;1167;1161;1931;41;;355;1;;1146;1182;187
Bom Retiro do Sul;5655;5817;10373;593;18;481;7;;9162;2310;1266
Boqueirão do Leão;3937;3736;5877;129;17;1649;1;;1672;6001;783
Bossoroca;3509;3375;5179;628;259;818;;;3682;3202;590
Bozano;1100;1100;1963;92;1;136;8;;629;1571;185
Braga;1866;1836;2684;125;24;869;;;2282;1420;316
Brochier;2398;2277;4516;74;3;82;;;2296;2379;492
Butiá;10032;10374;16410;1642;80;2260;14;;19330;1076;2074
Caçapava do Sul;16329;17361;27266;3853;97;2411;63;;25410;8280;3227
Cacequi;6836;6840;10716;716;41;2174;29;;11952;1724;1216
Cachoeira do Sul;40378;43449;70547;6577;219;6411;73;;71700;12127;7859
